geo,Geopolitical entity (reporting),pli,net_earnings_eur,predicted_earnings,earnings_residual,earnings_index,earnings_to_pli,affordability_index,net_earnings_50_eur,predicted_earnings_50,earnings_residual_50,earnings_index_50,earnings_to_pli_50,affordability_index_50,affordability_change
AT,Austria,113.0,36797.9,33098.25007510392,3699.6499248960827,136.64800398975527,325.64513274336286,120.92743715907545,23117.84,21019.78381802041,2098.056181979591,138.24499756912448,204.58265486725665,122.34070581338452,1.4132686543090642
BE,Belgium,116.2,34642.3,34643.03077460964,-0.7307746096339542,128.64324183212355,298.1265060240964,110.70846973504607,25346.0,22109.003021061868,3236.996978938132,151.5694246688717,218.12392426850258,130.43840332949372,19.729933594447658
BG,Bulgaria,62.5,13016.65,8719.67966102927,4296.97033897073,48.33697686914872,208.2664,77.33916299063796,6508.32,3830.54327002239,2677.7767299776096,38.91984210372094,104.13311999999999,62.27174736595351,-15.06741562468445
CY,Cyprus,89.2,23524.01,21608.94362253012,1915.066377469877,87.35577335486651,263.7220852017937,97.93248133953642,12265.01,12918.715995399558,-653.7059953995577,73.34492658636307,137.50011210762332,82.2252540205864,-15.707227318950018
CZ,Czechia,89.4,19568.67,21705.492416249235,-2136.822416249237,72.66772550156949,218.88892617449662,81.2838092858719,12277.93,12986.792195589653,-708.8621955896524,73.42218836205635,137.3370246085011,82.12772747433596,0.843918188464059
DE,Germany,108.3,31000.48,30829.35342270489,171.1265772951083,115.11944199870993,286.24635272391504,106.29680701635264,18861.79,19419.993113553264,-558.2031135532634,112.79376069301183,174.16241920590952,104.14936352078654,-2.147443495566108
DK,Denmark,139.7,41981.24,45987.514036604756,-4006.2740366047583,155.89619654966378,300.50994989262705,111.59355515366055,23645.5,30107.956543397577,-6462.456543397577,141.40041154453587,169.2591267000716,101.21718793452818,-10.376367219132362
EE,Estonia,101.2,20044.71,27401.871245676575,-7357.161245676576,74.43548713523019,198.07025691699604,73.5528529004251,11748.91,17003.288006805033,-5254.378006805033,70.25864156815092,116.09594861660078,69.4255351463942,-4.127317754030898
EL,Greece,87.4,15049.76,20740.004479058156,-5690.244479058156,55.886875732714614,172.19405034324942,63.943793744524726,8650.5,12306.03019368874,-3655.530193688741,51.73010763426477,98.97597254004576,59.18776617192765,-4.756027572597077
ES,Spain,91.6,25262.74,22767.529147159406,2495.210852840595,93.81250006962762,275.7941048034935,102.41539308911311,14896.72,13735.630397680652,1161.0896023193473,89.0825881738055,162.6279475982533,97.25173381419818,-5.163659274914934
FI,Finland,120.8,33641.04,36863.653030149115,-3222.613030149114,124.9250899681644,278.48543046357617,103.41480957629501,20093.11,23674.75562543396,-3581.645625433961,120.15707103717955,166.33369205298015,99.4677740374003,-3.94703553889471
FR,France,110.3,30831.6,31794.841359895963,-963.2413598959647,114.4923106973642,279.5249320036265,103.8008256549086,19721.26,20100.755115454176,-379.4951154541777,117.93340298055837,178.79655485040797,106.92058293794958,3.1197572830409683
HR,Croatia,78.4,17256.07,16395.30876169832,860.7612383016785,64.07994810050292,220.10293367346938,81.73462767921289,9609.07,9242.601185134637,366.4688148653622,57.46236926942772,122.56466836734693,73.29383835386189,-8.440789325351005
HU,Hungary,77.5,12967.22,15960.839189962335,-2993.6191899623354,48.153419904288945,167.31896774193547,62.13344503779218,6483.61,8936.258284279225,-2452.6482842792257,38.77207596770075,83.65948387096773,50.028485119613876,-12.104959918178302
IE,Ireland,136.2,44263.3,44297.910146520386,-34.61014652038284,164.3705644887272,324.98751835535984,120.68323383900676,30433.84,28916.62304007098,1517.216959929021,181.99477705612304,223.44963289280471,133.62318432901841,12.939950490011654
IT,Italy,97.1,24471.27,25422.620974434863,-951.350974434863,90.87339768286718,252.0213182286303,93.58743324703109,14913.23,15607.725902908158,-694.4959029081583,89.18131819831758,153.58630278063853,91.8448179179378,-1.742615329093283
LT,Lithuania,82.8,18650.38,18519.382223518678,130.99777648132294,69.25768048313768,225.2461352657005,83.64454164630153,10771.32,10740.27758931664,31.042410683359776,64.41264007434353,130.08840579710144,77.79304356804775,-5.851498078253783
LU,Luxembourg,131.5,54259.93,42029.01349412136,12230.916505878638,201.4927789662954,412.6230418250951,153.22644788311436,36112.84,27316.83233560384,8796.007664396155,215.95527428229371,274.62235741444863,164.2245431804515,10.99809529733713
LV,Latvia,83.2,16792.67,18712.4798109569,-1919.8098109569,62.35912476414804,201.83497596153845,74.95087111075486,9176.64,10876.429989696826,-1699.7899896968265,54.87643198900635,110.29615384615384,65.95724998678647,-8.993621123968396
MT,Malta,91.9,25543.95,22912.352337738073,2631.5976622619273,94.85676578049588,277.9537540805223,103.21737299292258,16327.29,13837.74469796579,2489.54530203421,97.63741622748451,177.66365614798693,106.24310797332373,3.025734980401154
NL,Netherlands,115.6,35836.93,34353.38439345232,1483.5456065476828,133.07946794845847,310.008044982699,115.12064701423743,28369.52,21904.77442049159,6464.74557950841,169.65011538436238,245.41107266435986,146.7561551767841,31.635508162546657
PL,Poland,73.3,16163.12,13933.31452186107,2229.805478138931,60.02130790743203,220.50641200545704,81.8844582638909,9370.9,7506.65808028731,1864.2419197126892,56.038109430660846,127.8431105047749,76.45035392996023,-5.4341043339306765
PT,Portugal,86.6,19708.63,20353.809304181723,-645.1793041817218,73.1874631669908,227.58233256351042,84.5120821789732,13608.18,12033.725392928372,1574.4546070716278,81.37710145152872,157.13833718244805,93.96893932047196,9.456857141498759
RO,Romania,65.1,13232.74,9974.813979377665,3257.9260206223353,49.1394212255426,203.26789554531493,75.48298191327589,6741.43,4715.533872493572,2025.8961275064285,40.31384307367916,103.55499231950846,61.92602622684971,-13.556955686426186
SE,Sweden,121.0,34624.37,36960.20182386822,-2335.8318238682186,128.57665926323955,286.1518181818182,106.2617018704459,19533.49,23742.831825624056,-4209.341825624055,116.81053582715847,161.43380165289258,96.53763291500702,-9.72406895543888
SI,Slovenia,89.3,22503.18,21657.218019389675,845.9619806103256,83.56494882648687,251.9952967525196,93.5777702424265,12127.39,12952.754095494602,-825.3640954946022,72.52195711493047,135.805039193729,81.21159811302405,-12.366172129402443
SK,Slovakia,85.2,15685.92,19677.96774814797,-3992.04774814797,58.24923864522111,184.10704225352112,68.36765099204355,8389.57,11557.191991597738,-3167.621991597738,50.16974268599487,98.46913145539905,58.88467451407848,-9.482976477965067
